id;title;create_at;student_id
1;Как достичь успеха в карьере за месяц;04.10.2022;22
2;Секреты эффективного управления своими финансами: как сберечь деньги и инвестировать в будущее;01.06.2021;74
3;Как стать профессиональным спортсменом за месяц;05.11.2020;39
4;Секреты эффективного управления своими мыслями: как развивать креативность и инновации;04.04.2019;42
5;Как научиться создавать свой собственный бренд за неделю;06.07.2022;22
6;Секреты эффективного управления своими эмоциями: как контролировать свой гнев и стресс;01.11.2018;94
7;Как научиться создавать собственный курс по фитнесу за неделю;11.05.2022;3
8;Секреты эффективного управления своими отношениями: как сохранять доверие и гармонию в отношениях;02.03.2019;40
9;Как научиться создавать собственный курс по маркетингу за неделю;04.06.2020;78
10;Секреты эффективного управления своим временем: как находить баланс между работой и личной жизнью;09.12.2021;87
11;Как научиться создавать собственный курс по кулинарии за неделю;10.08.2019;77
12;Секреты эффективного управления своими мыслями: как развивать свою интуицию и чувствительность;12.02.2021;62
13;Как стать профессиональным фотографом за месяц;04.05.2019;4
14;Секреты эффективного управления своими эмоциями: как управлять своей тревогой и страхом;11.02.2020;89
15;Как научиться создавать собственный курс по разработке приложений за неделю;04.06.2022;97
16;Секреты эффективного управления своими отношениями: как сохранять любовь и страсть в браке;02.02.2018;5
17;Как научиться создавать собственный курс по инвестициям за неделю;03.10.2020;3
18;Секреты эффективного управления своим здоровьем: как поддерживать свой организм в форме;04.09.2022;4
19;Как стать профессиональным писателем за месяц;02.08.2020;87
20;Секреты эффективного управления своими мыслями: как избавиться от негативных мыслей и повысить самооценку;03.05.2017;46
21;Как научиться создавать собственный курс по управлению проектами за неделю;09.04.2021;71
22;Секреты эффективного управления своими эмоциями: как управлять своей злобой и раздражением;01.12.2017;77
23;Как стать профессиональным дизайнером за месяц;01.10.2021;20
24;Секреты эффективного управления своим временем: как управлять своими задачами и достигать целей;05.07.2017;93
25;Как научиться создавать собственный курс по обучению языкам за неделю;01.10.2017;25
26;Секреты эффективного управления своими отношениями: как сохранять дружбу и уважение в коллективе;08.10.2017;22
27;Как научиться создавать собственный курс по интеллектуальной собственности за неделю;04.09.2018;12
28;Секреты эффективного управления своими мыслями: как развивать логическое мышление и аналитические способности;01.11.2019;81
29;Как стать профессиональным веб-разработчиком за месяц;08.12.2020;23
30;Секреты эффективного управления своими эмоциями: как управлять своей грустью и депрессией;03.02.2020;40
31;Как научиться создавать собственный курс по управлению продажами за неделю;08.02.2019;101
32;Секреты эффективного управления своим здоровьем: как поддерживать свой иммунитет и здоровье;06.12.2020;79
33;Как стать профессиональным тренером по бодибилдингу за месяц;02.12.2018;2
34;Секреты эффективного управления своими отношениями: как сохранять доверие и уверенность в себе в команде;07.04.2021;69
35;Как научиться создавать собственный курс по управлению производством за неделю;01.01.2018;3
36;Секреты эффективного управления своими мыслями: как развивать свою интуицию и чувствительность;10.11.2018;18
37;Как стать профессиональным маникюрщиком за месяц;05.10.2022;17
38;Секреты эффективного управления своим временем: как управлять своим расписанием и достигать целей;08.12.2021;65
39;Как научиться создавать собственный курс по управлению рисками за неделю;10.05.2018;28
40;Секреты эффективного управления своей энергией: как сохранять свою мотивацию и энтузиазм в работе.;08.08.2019;44
41;Как стать экспертом в психологии за месяц;01.12.2022;4
42;Секреты эффективного управления своими мыслями: как избавиться от негативных мыслей и эмоций;09.09.2019;27
43;Как научиться создавать собственный бренд за неделю;02.05.2017;82
44;Секреты эффективного управления своими финансами: как сберечь деньги и инвестировать;10.10.2022;92
45;Как стать профессиональным фотографом за месяц;12.03.2020;75
46;Секреты эффективного управления своим временем: как планировать свой день и достигать целей;05.02.2017;100
47;Как научиться создавать собственный бизнес за неделю;03.02.2019;45
48;Секреты эффективного управления своими отношениями: как строить здоровые и гармоничные отношения;06.09.2018;45
49;Как стать профессиональным тренером по фитнесу за месяц;12.04.2021;21
50;Секреты эффективного управления своей энергией: как сохранять силы и не уставать;03.02.2019;99
51;Как научиться создавать собственный стартап за неделю;11.03.2020;101
52;Секреты эффективного управления своим здоровьем: как поддерживать свой организм в тонусе;01.03.2017;62
53;Как стать профессиональным поваром за месяц;06.12.2021;32
54;Секреты эффективного управления своими мыслями: как думать позитивно и достигать успеха;06.08.2019;49
55;Как научиться создавать собственный блог за неделю;11.12.2017;92
56;Секреты эффективного управления своими фобиями: как преодолеть страхи и боязни;07.10.2019;29
57;Как стать профессиональным дизайнером за месяц;02.08.2019;79
58;Секреты эффективного управления своими мыслями: как развивать креативное мышление и воображение;05.06.2022;16
59;Как научиться создавать собственный видеокурс за неделю;05.07.2018;11
60;Секреты эффективного управления своими эмоциями: как контролировать свой гнев и раздражение;02.07.2017;94
61;Как стать профессиональным актером за месяц;06.06.2018;27
62;Секреты эффективного управления своими отношениями: как строить здоровые и гармоничные отношения;06.05.2019;25
63;Как научиться создавать собственный продукт за неделю;04.02.2020;37
64;Секреты эффективного управления своими мыслями: как избавиться от негативных мыслей и эмоций;03.03.2021;28
65;Как стать профессиональным музыкантом за месяц;07.01.2020;54
66;Секреты эффективного управления своим временем: как планировать свой день и достигать целей;10.01.2018;14
67;Как научиться создавать собственный курс по онлайн-маркетингу за неделю;09.04.2017;18
68;Секреты эффективного управления своей энергией: как сохранять силы и не уставать;10.01.2021;36
69;Как стать профессиональным писателем за месяц;01.12.2017;41
70;Секреты эффективного управления своим здоровьем: как поддерживать свой организм в тонусе;07.07.2020;58
71;Как научиться создавать собственный фильм за неделю;03.10.2017;94
72;Секреты эффективного управления своими мыслями: как думать позитивно и достигать успеха;04.11.2022;76
73;Как стать профессиональным фрилансером за месяц;02.07.2022;1
